short_run,pair,run_name,model_tag,architecture,base_model_tag,graph_suffix,step,lmax,step_label,n_edges,mean_rel_l2_vs_tempest,max_rel_l2_vs_tempest,row_sum_rel_l2,target_mass_rel_l2,source_mass_rel_l2,mean_abs_conservation_error,AnalyticalFun1_rel_l2,AnalyticalFun2_rel_l2,TotalPrecipWater_rel_l2,CloudFraction_rel_l2,Topography_rel_l2
v18_seed123,CS-r32_to_ICOD-r32,v18_irno_corrector_from_v16_l24_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,2,16,corrected_lmax16,128909,0.0027985846507363,0.0058152340352535,3.5145818401360884e-05,3.5145818401360884e-05,9.314740623267427e-08,1.3335466064745558e-10,0.0035970958415418,0.0006156364106573,0.0015978795709088,0.0023670773953199,0.0058152340352535
v18_seed123,CS-r32_to_RLL-r90-180,v18_irno_corrector_from_v16_l24_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,3,24,corrected_lmax24,170696,0.005179256608244,0.0126149896532297,3.827163891401142e-05,3.827163891401142e-05,9.925403077204464e-08,1.4415491023100913e-10,0.0045181629247963,0.000589151342865,0.0032248741481453,0.0049491049721837,0.0126149896532297
v18_seed123,ICOD-r32_to_CS-r32,v18_irno_corrector_from_v16_l24_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,2,16,corrected_lmax16,128909,0.0013649597764015,0.0028996069449931,1.559200245537795e-05,1.559200245537795e-05,7.734602291975534e-08,6.48627263011292e-11,0.0016649599419906,0.0003064625780098,0.0007599148084409,0.001193854608573,0.0028996069449931
v18_seed123,ICOD-r32_to_RLL-r90-180,v18_irno_corrector_from_v16_l24_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,2,16,corrected_lmax16,207035,0.0030276715930085,0.0072699901647865,1.1452562830527311e-05,1.1452562830527311e-05,8.356403213838348e-08,7.09096809048404e-11,0.0028092586435377,0.0003996001032646,0.0018472094088792,0.0028122996445745,0.0072699901647865
v18_seed123,RLL-r90-180_to_CS-r16,v18_irno_corrector_from_v16_l24_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,3,24,corrected_lmax24,106088,0.0026398613350465,0.0058023924939334,7.410046964650974e-05,7.410046964650974e-05,8.381717719885273e-08,4.4546713540150045e-11,0.0029391020070761,0.0005480465479195,0.0014888605801388,0.0024209050461649,0.0058023924939334
v18_seed123,RLL-r90-180_to_ICOD-r16,v18_irno_corrector_from_v16_l24_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,3,24,corrected_lmax24,123352,0.0011478623433504,0.0024274005554616,2.314074481546413e-05,2.314074481546413e-05,7.31896747652172e-08,3.715465435316645e-11,0.0013233906356617,0.0003038825525436,0.0006278414512053,0.0010567965218797,0.0024274005554616
v18_seed456,CS-r32_to_ICOD-r32,v18_irno_corrector_from_v16_l24_seed456_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_seed456_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,2,16,corrected_lmax16,128909,0.0027590836631134,0.0057266843505203,2.605125519039575e-05,2.605125519039575e-05,8.908843796007204e-08,1.2588922959633209e-10,0.0035287754144519,0.0006279773078858,0.00157870457042,0.0023332766722887,0.0057266843505203
v18_seed456,CS-r32_to_RLL-r90-180,v18_irno_corrector_from_v16_l24_seed456_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_seed456_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,3,24,corrected_lmax24,170696,0.0052170400856994,0.0127378022298216,6.541790935443714e-05,6.541790935443714e-05,1.0599039512726449e-07,1.5395092145542575e-10,0.0044735767878592,0.0006078415899537,0.0032762114424258,0.0049897683784365,0.0127378022298216
v18_seed456,ICOD-r32_to_CS-r32,v18_irno_corrector_from_v16_l24_seed456_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_seed456_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,1,8,corrected_lmax8,128909,0.001436178968288,0.0030518493149429,2.5026713046827357e-05,2.5026713046827357e-05,8.257262607003214e-08,7.041524308082359e-11,0.0017483010888099,0.0003221043734811,0.0008004197734408,0.0012582202907651,0.0030518493149429
v18_seed456,ICOD-r32_to_RLL-r90-180,v18_irno_corrector_from_v16_l24_seed456_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_seed456_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,3,24,corrected_lmax24,207035,0.0029604947892948,0.006980734411627,4.605827052728273e-05,4.605827052728273e-05,9.583001769897237e-08,8.383903987718709e-11,0.0028585279360413,0.00042755540926,0.0018392861820757,0.0026963700074702,0.006980734411627
v18_seed456,RLL-r90-180_to_CS-r16,v18_irno_corrector_from_v16_l24_seed456_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_seed456_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,3,24,corrected_lmax24,106088,0.0027009602286852,0.005923646967858,9.591128036845475e-05,9.591128036845475e-05,8.398160389333499e-08,4.437121503553243e-11,0.0029838806949555,0.0005702933412976,0.0015615515876561,0.0024654285516589,0.005923646967858
v18_seed456,RLL-r90-180_to_ICOD-r16,v18_irno_corrector_from_v16_l24_seed456_a2p0_mink8,bipartite_gnn_sinkhorn_v18_irno_corrector_from_v16_l24_seed456_kdist_a2p0_mink8,irno_corrector,bipartite_gnn_sinkhorn_v16_gated_hybridattn_balanced_long_harmonic_l24_kdist_a2p0_mink8,kdist_a2p0_mink8,2,16,corrected_lmax16,123352,0.0012329686258453,0.002632824704051,3.7491445255000144e-05,3.7491445255000144e-05,7.821800096508015e-08,4.039391737764575e-11,0.0013912261929363,0.0003185700916219,0.0006902234163135,0.0011319987243041,0.002632824704051
