direction,method,step_label,function,area_rel_l2,tempest_finest_error,finest_error_ratio_vs_tempest,fitted_order,r2
CS_to_ICOD_4level,irno,base,smooth1,0.0002553816849717,0.0003058161937162,0.8350822821655296,1.3187559016656052,0.8129604274246597
CS_to_ICOD_4level,irno,base,smooth2,0.0002570897257011,0.0004125432889994,0.6231824212306455,1.447823420710772,0.8501080439442862
CS_to_ICOD_4level,irno,base,x,0.0005203680333941,0.0012100044341562,0.43005464997075,1.62190456434083,0.9046027663470202
CS_to_ICOD_4level,irno,base,y,0.0005253903398786,0.001210321317898,0.4340916185720505,1.631492250490981,0.9008282570350068
CS_to_ICOD_4level,irno,base,z,0.0005775061603517,0.0011894461072794,0.48552528510318144,1.4361442273234877,0.9266793276264113
CS_to_ICOD_4level,irno,corrected_lmax16,smooth1,0.0002263700835585,0.0003058161937162,0.7402161435851672,1.3516886998192106,0.8625074450507975
CS_to_ICOD_4level,irno,corrected_lmax16,smooth2,0.0002536811643213,0.0004125432889994,0.6149201092001498,1.4404729901379243,0.8618602131370932
CS_to_ICOD_4level,irno,corrected_lmax16,x,0.0006104220531419,0.0012100044341562,0.5044791869441202,1.530984426679459,0.9027327400378352
CS_to_ICOD_4level,irno,corrected_lmax16,y,0.0006201071801227,0.001210321317898,0.5123492174785933,1.543149975663059,0.8853336121393005
CS_to_ICOD_4level,irno,corrected_lmax16,z,0.0006743609833251,0.0011894461072794,0.5669537940374234,1.3637558711352211,0.9167982659331444
CS_to_ICOD_4level,irno,corrected_lmax24,smooth1,0.000226947515562,0.0003058161937162,0.7421043104493321,1.3380214531714805,0.8911353755669584
CS_to_ICOD_4level,irno,corrected_lmax24,smooth2,0.0002653353554813,0.0004125432889994,0.6431697292297631,1.4112177228882987,0.8743136294020423
CS_to_ICOD_4level,irno,corrected_lmax24,x,0.0006701897456372,0.0012100044341562,0.5538737931192448,1.4794441072848037,0.9101274712527866
CS_to_ICOD_4level,irno,corrected_lmax24,y,0.0006807310897802,0.001210321317898,0.5624383208935338,1.4976839067601482,0.8821002855688903
CS_to_ICOD_4level,irno,corrected_lmax24,z,0.0007417932609861,0.0011894461072794,0.6236459612977263,1.331115537743527,0.9026894802679422
CS_to_ICOD_4level,irno,corrected_lmax8,smooth1,0.0002373167397299,0.0003058161937162,0.7760110308289688,1.3421131063076157,0.8335098964720842
CS_to_ICOD_4level,irno,corrected_lmax8,smooth2,0.0002512109960649,0.0004125432889994,0.6089324508809677,1.4515652899662828,0.8540874133018831
CS_to_ICOD_4level,irno,corrected_lmax8,x,0.0005569922638074,0.0012100044341562,0.46032249807069525,1.5810872998977965,0.9023478765849756
CS_to_ICOD_4level,irno,corrected_lmax8,y,0.0005644048350775,0.001210321317898,0.4663264430124376,1.5902682492496123,0.8935016925116321
CS_to_ICOD_4level,irno,corrected_lmax8,z,0.0006171688023673,0.0011894461072794,0.5188707572291272,1.4005017167224176,0.9250710685570408
CS_to_ICOD_4level,tempest,tempest,smooth1,0.0003058161937162,0.0003058161937162,1.0,1.0148453895194869,0.9999890633837004
CS_to_ICOD_4level,tempest,tempest,smooth2,0.0004125432889994,0.0004125432889994,1.0,1.0130230209469613,0.999992365691898
CS_to_ICOD_4level,tempest,tempest,x,0.0012100044341562,0.0012100044341562,1.0,1.0122182210388455,0.9999948649508228
CS_to_ICOD_4level,tempest,tempest,y,0.001210321317898,0.001210321317898,1.0,1.0142726414129752,0.9999733970472544
CS_to_ICOD_4level,tempest,tempest,z,0.0011894461072794,0.0011894461072794,1.0,1.015669978093436,0.999937259167206
ICOD_to_CS_4level,irno,base,smooth1,0.0004675285060839,7.8003388429233e-05,5.993694831706648,0.3905747441972887,0.222706076640214
ICOD_to_CS_4level,irno,base,smooth2,0.0004370748621046,9.940774181344356e-05,4.396788963628701,0.3963718755059831,0.2567826852803633
ICOD_to_CS_4level,irno,base,x,0.0005934297418681,0.0002945983148865,2.0143690981285176,0.7376430262387005,0.7547157915128173
ICOD_to_CS_4level,irno,base,y,0.0006269081278886,0.0002943117537682,2.130081860007375,0.6627158885395921,0.7003399405266384
ICOD_to_CS_4level,irno,base,z,0.000635697034849,0.0003972357448102,1.6003016927712215,0.7090799891568174,0.9271183052517512
ICOD_to_CS_4level,irno,corrected_lmax16,smooth1,0.0003946871912005,7.8003388429233e-05,5.059872386935755,0.4438840849169301,0.3259826084895786
ICOD_to_CS_4level,irno,corrected_lmax16,smooth2,0.0003757465139441,9.940774181344356e-05,3.779851620100733,0.4820071865946115,0.3659363330115797
ICOD_to_CS_4level,irno,corrected_lmax16,x,0.0005577620923206,0.0002945983148865,1.89329695431384,0.7626439603088674,0.788877604159024
ICOD_to_CS_4level,irno,corrected_lmax16,y,0.0005893807305484,0.0002943117537682,2.0025728602487156,0.6895329234919122,0.7365525146832435
ICOD_to_CS_4level,irno,corrected_lmax16,z,0.0006082524657841,0.0003972357448102,1.531212821934552,0.7490113556808076,0.9383734619873756
ICOD_to_CS_4level,irno,corrected_lmax24,smooth1,0.000365887243717,7.8003388429233e-05,4.6906583301691285,0.4845496009395385,0.4008273332399984
ICOD_to_CS_4level,irno,corrected_lmax24,smooth2,0.0003545565502239,9.940774181344356e-05,3.5666895128680105,0.527054885355901,0.4404071547449683
ICOD_to_CS_4level,irno,corrected_lmax24,x,0.0005603927529004,0.0002945983148865,1.9022266068164806,0.7789148864688136,0.8022227723413877
ICOD_to_CS_4level,irno,corrected_lmax24,y,0.0005965769177692,0.0002943117537682,2.027023760114807,0.7087884234628403,0.749363730215684
ICOD_to_CS_4level,irno,corrected_lmax24,z,0.0006168820767751,0.0003972357448102,1.5529369771842847,0.7732014049274035,0.9294155673542994
ICOD_to_CS_4level,irno,corrected_lmax8,smooth1,0.000430863509717,7.8003388429233e-05,5.523651195074587,0.4080815049995006,0.2611449386832597
ICOD_to_CS_4level,irno,corrected_lmax8,smooth2,0.000405570610433,9.940774181344356e-05,4.079869465238692,0.4312602021048531,0.2993582891371303
ICOD_to_CS_4level,irno,corrected_lmax8,x,0.0005706618125976,0.0002945983148865,1.9370844426501865,0.7447106811152094,0.7720701245697452
ICOD_to_CS_4level,irno,corrected_lmax8,y,0.0006007578518961,0.0002943117537682,2.0412295608460718,0.6703528801624795,0.7193836369325315
ICOD_to_CS_4level,irno,corrected_lmax8,z,0.0006152747912323,0.0003972357448102,1.5488908016731462,0.7251271361899674,0.9385305897580392
ICOD_to_CS_4level,tempest,tempest,smooth1,7.8003388429233e-05,7.8003388429233e-05,1.0,1.1788081938581307,0.9966905518200372
ICOD_to_CS_4level,tempest,tempest,smooth2,9.940774181344356e-05,9.940774181344356e-05,1.0,1.076173604128598,0.9992094723488848
ICOD_to_CS_4level,tempest,tempest,x,0.0002945983148865,0.0002945983148865,1.0,1.0612354846491647,0.9996501135437555
ICOD_to_CS_4level,tempest,tempest,y,0.0002943117537682,0.0002943117537682,1.0,1.0663058589591954,0.9992993097917248
ICOD_to_CS_4level,tempest,tempest,z,0.0003972357448102,0.0003972357448102,1.0,1.0315812856589237,0.9997189355858268
CS_to_RLL_3level,irno,base,smooth1,0.0002721736612722,0.0004629036058523,0.5879704928439102,1.2699201614975868,0.659704626457496
CS_to_RLL_3level,irno,base,smooth2,0.0003044353552612,0.0005211175044289,0.584197139174657,1.3547279415699032,0.7095498621537457
CS_to_RLL_3level,irno,base,x,0.0007614997557845,0.0016544930695486,0.4602616776099655,1.505720156593389,0.7581337486580056
CS_to_RLL_3level,irno,base,y,0.0007570209563984,0.0016544930695486,0.45755462523934304,1.507396561621068,0.7558297349310882
CS_to_RLL_3level,irno,base,z,0.000707523660959,0.0011875044647598,0.5958071585879157,1.3807269324426945,0.7253029117847316
CS_to_RLL_3level,irno,corrected_lmax16,smooth1,0.0002911005126094,0.0004629036058523,0.6288577339410104,1.2267811635275814,0.6588861892803073
CS_to_RLL_3level,irno,corrected_lmax16,smooth2,0.0003667820600291,0.0005211175044289,0.7038375355114229,1.211129974498064,0.6255689073150157
CS_to_RLL_3level,irno,corrected_lmax16,x,0.0010451131855785,0.0016544930695486,0.6316818153028837,1.269251339848693,0.648505959720426
CS_to_RLL_3level,irno,corrected_lmax16,y,0.0010413238138654,0.0016544930695486,0.6293914631806269,1.2677968482851485,0.6197093940364666
CS_to_RLL_3level,irno,corrected_lmax16,z,0.0008695518602336,0.0011875044647598,0.7322514449741349,1.236650086830777,0.6307306664141484
CS_to_RLL_3level,irno,corrected_lmax24,smooth1,0.0003135706192125,0.0004629036058523,0.6773993877951167,1.192013617720519,0.6661714772005485
CS_to_RLL_3level,irno,corrected_lmax24,smooth2,0.000404681722087,0.0005211175044289,0.7765652058272278,1.1525538923847936,0.6019313303031468
CS_to_RLL_3level,irno,corrected_lmax24,x,0.0011864842423481,0.0016544930695486,0.7171285659551367,1.1909166354704357,0.6174850458747219
CS_to_RLL_3level,irno,corrected_lmax24,y,0.0011787638081221,0.0016544930695486,0.7124622217025699,1.192147197074275,0.5742862965901496
CS_to_RLL_3level,irno,corrected_lmax24,z,0.0009587530588945,0.0011875044647598,0.8073679614235638,1.1850017829158448,0.5849689503915764
CS_to_RLL_3level,irno,corrected_lmax8,smooth1,0.0002757293294585,0.0004629036058523,0.5956517209470124,1.2562990510818413,0.6585864245024993
CS_to_RLL_3level,irno,corrected_lmax8,smooth2,0.0003300155376964,0.0005211175044289,0.633284307074023,1.2853320131355004,0.6674135222416879
CS_to_RLL_3level,irno,corrected_lmax8,x,0.0008903837344708,0.0016544930695486,0.5381610541975409,1.3820092728807638,0.7022301067828627
CS_to_RLL_3level,irno,corrected_lmax8,y,0.0008877882351043,0.0016544930695486,0.5365922961203565,1.380901556770581,0.6882154158933591
CS_to_RLL_3level,irno,corrected_lmax8,z,0.000782186789333,0.0011875044647598,0.658681135562059,1.304130120539965,0.6815653187860167
CS_to_RLL_3level,tempest,tempest,smooth1,0.0004629036058523,0.0004629036058523,1.0,1.028089101772958,0.9999491493976278
CS_to_RLL_3level,tempest,tempest,smooth2,0.0005211175044289,0.0005211175044289,1.0,1.0085651141537837,0.9999962101190042
CS_to_RLL_3level,tempest,tempest,x,0.0016544930695486,0.0016544930695486,1.0,1.0171532600767723,0.9999802311365482
CS_to_RLL_3level,tempest,tempest,y,0.0016544930695486,0.0016544930695486,1.0,1.0171532600767723,0.9999802311365482
CS_to_RLL_3level,tempest,tempest,z,0.0011875044647598,0.0011875044647598,1.0,1.0250017933315991,0.9999481183312038
RLL_to_CS_3level,irno,base,smooth1,0.0004880242260636,0.0001245374946943,3.9186931394560687,0.0240610172874644,0.0015364764290367
RLL_to_CS_3level,irno,base,smooth2,0.0004665684510814,0.0001578722192809,2.9553549902990897,0.1398648210272924,0.0467026410364156
RLL_to_CS_3level,irno,base,x,0.0006381609008907,0.0004586506797544,1.391387670530489,0.7262869568329053,0.5581874928483239
RLL_to_CS_3level,irno,base,y,0.000651017497102,0.0004586506797544,1.419419017215039,0.7053152436079357,0.6450936485406582
RLL_to_CS_3level,irno,base,z,0.0006396216655937,0.000504626510782,1.2675149876737615,0.7696298346831174,0.8583213754243064
RLL_to_CS_3level,irno,corrected_lmax16,smooth1,0.0004238696371284,0.0001245374946943,3.403550377891135,0.1109371512187747,0.0414170384340442
RLL_to_CS_3level,irno,corrected_lmax16,smooth2,0.0004093578713419,0.0001578722192809,2.592969638398095,0.2356285693844651,0.1417306008685935
RLL_to_CS_3level,irno,corrected_lmax16,x,0.0005697621547174,0.0004586506797544,1.2422572992206147,0.7970966690784556,0.5990732639735008
RLL_to_CS_3level,irno,corrected_lmax16,y,0.0005838353757598,0.0004586506797544,1.2729412634304484,0.7764535672582821,0.7119450267657562
RLL_to_CS_3level,irno,corrected_lmax16,z,0.0005817034697155,0.000504626510782,1.1527406057483125,0.862595254893784,0.9060738457688662
RLL_to_CS_3level,irno,corrected_lmax24,smooth1,0.0004014890181697,0.0001245374946943,3.2238404920159023,0.1659715586741849,0.0857658881419737
RLL_to_CS_3level,irno,corrected_lmax24,smooth2,0.0003907798130886,0.0001578722192809,2.4752918206165866,0.288734279514188,0.1940110433062819
RLL_to_CS_3level,irno,corrected_lmax24,x,0.0005526266289919,0.0004586506797544,1.20489656591771,0.8380010041231104,0.6079873614601636
RLL_to_CS_3level,irno,corrected_lmax24,y,0.0005726077469806,0.0004586506797544,1.2484615683709923,0.8059863521616111,0.7199589564933211
RLL_to_CS_3level,irno,corrected_lmax24,z,0.0005754797073493,0.000504626510782,1.1404072022643073,0.8915654745722198,0.9058135488645912
RLL_to_CS_3level,irno,corrected_lmax8,smooth1,0.0004559319148944,0.0001245374946943,3.6610011789105603,0.0558260147012857,0.0100083845863719
RLL_to_CS_3level,irno,corrected_lmax8,smooth2,0.000437874318836,0.0001578722192809,2.7735995657152057,0.1779022293781099,0.0830688757801029
RLL_to_CS_3level,irno,corrected_lmax8,x,0.000601954292617,0.0004586506797544,1.3124460928289405,0.7540817239008214,0.5816105845608919
RLL_to_CS_3level,irno,corrected_lmax8,y,0.0006131181975399,0.0004586506797544,1.3367868502194629,0.7370723419505215,0.6849392818432332
RLL_to_CS_3level,irno,corrected_lmax8,z,0.0006057906432243,0.000504626510782,1.2004732812898196,0.8154909970546622,0.8907105207573031
RLL_to_CS_3level,tempest,tempest,smooth1,0.0001245374946943,0.0001245374946943,1.0,1.0478489669158724,0.9996659821218256
RLL_to_CS_3level,tempest,tempest,smooth2,0.0001578722192809,0.0001578722192809,1.0,0.9888002826614708,0.999917974063936
RLL_to_CS_3level,tempest,tempest,x,0.0004586506797544,0.0004586506797544,1.0,1.00817594629555,0.9999951810785368
RLL_to_CS_3level,tempest,tempest,y,0.0004586506797544,0.0004586506797544,1.0,1.00817594629555,0.9999951810785368
RLL_to_CS_3level,tempest,tempest,z,0.000504626510782,0.000504626510782,1.0,1.0315586132808952,0.9999771002781048
